76	1	0.1
60	7.2	0.1
82	1	0.1
59	7.2	0.1
85	2	0.1
85	3.8	0.1
84	1	0.1
84	6.6	0.1
82	1	0.1
93	7.8	0.1
89	1	0.1
76	6.6	0.1
87	1	0.1
59	3.4	0.1
82	1	0.1
84	6.6	0.1
82	1	0.1
82	6.2	0.1
85	3	0.1
85	4	0.1
84	1	0.1
84	6.8	0.1
92	1	0.1
90	8	0.1
82	1.2	0.1
59	6.4	0.1
77	1	0.1
59	7.4	0.1
74	1	0.1
89	10.4	0.1
82	1	0.1
82	9.199999999999999	0.1
85	1.2	0.1
85	2.4	0.1
84	1	0.1
84	8	0.1
82	1	0.1
59	10.4	0.1
90	1	0.1
90	10.8	0.1
91	1	0.1
92	9.199999999999999	0.1
94	3.8	0.1
94	13.4	0.1
68	1	0.1
59	10.4	0.1
87	1	0.1
86	11.6	0.1
90	1	0.1
59	9.199999999999999	0.1
89	7	0.1
59	13.8	0.1
87	10.2	0.1
87	11.8	0.1
89	1	0.1
59	10.6	0.1
85	2.4	0.1
85	4	0.1
83	1.2	0.1
69	7	0.1
